2024-07-02 18:57:08.935 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-07-02 18:57:08.935 [info] Added views:workbench.panel.output in workbench.panel.output
2024-07-02 18:57:08.935 [info] Added views:outline in workbench.view.explorer
2024-07-02 18:57:08.935 [info] Added views:workbench.scm in workbench.view.scm
2024-07-02 18:57:08.935 [info] Added views:workbench.view.search in workbench.view.search
2024-07-02 18:57:08.935 [info] Added views:terminal in workbench.views.service.panel.30e0af9e-cc88-4faa-81a0-fb23d398114a
2024-07-02 18:57:08.935 [info] Added views:timeline in workbench.view.explorer
2024-07-02 18:57:08.935 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-07-02 18:57:09.426 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-07-02 18:57:09.456 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-02 18:57:09.805 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-07-02 18:57:28.035 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-07-02 18:57:28.039 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-07-02 18:57:28.374 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2024-07-02 18:57:28.648 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-07-02 18:57:28.660 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-07-02 18:57:39.268 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-07-02 18:57:39.281 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-07-02 18:57:42.803 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-07-02 18:57:42.816 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-07-02 18:57:45.068 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-07-02 18:57:45.085 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-07-02 18:57:46.742 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-07-02 18:57:46.747 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-07-02 19:07:01.455 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-07-02 19:07:01.471 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-07-02 19:07:03.403 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-07-02 19:07:03.414 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-07-02 19:12:08.469 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-07-02 19:12:08.491 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-07-02 19:12:09.958 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-07-02 19:12:09.964 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
