[08/07/2024 10:52:12 - INFO] Discord Presence activated
[08/07/2024 10:52:12 - INFO] Creating discord-rpc client
[08/07/2024 10:52:12 - INFO] Successfully connected to Discord
[08/07/2024 10:52:12 - DEBUG] Loading git extension
[08/07/2024 10:53:01 - TRACE] VSCode language id: python
[08/07/2024 10:53:03 - TRACE] VSCode language id: python
[08/07/2024 10:53:05 - TRACE] VSCode language id: python
[08/07/2024 10:53:07 - TRACE] VSCode language id: python
[08/07/2024 10:53:09 - TRACE] VSCode language id: python
[08/07/2024 10:53:11 - TRACE] VSCode language id: python
[08/07/2024 10:53:13 - TRACE] VSCode language id: python
[08/07/2024 10:53:15 - TRACE] VSCode language id: python
[08/07/2024 10:53:17 - TRACE] VSCode language id: python
[08/07/2024 11:02:32 - TRACE] VSCode language id: python
[08/07/2024 11:02:34 - TRACE] VSCode language id: python
[08/07/2024 11:02:52 - TRACE] VSCode language id: python
[08/07/2024 11:02:53 - TRACE] VSCode language id: python
[08/07/2024 11:03:13 - TRACE] VSCode language id: python
[08/07/2024 11:03:15 - TRACE] VSCode language id: python
[08/07/2024 11:03:17 - TRACE] VSCode language id: python
[08/07/2024 11:03:19 - TRACE] VSCode language id: python
[08/07/2024 11:03:20 - TRACE] VSCode language id: python
[08/07/2024 11:03:22 - TRACE] VSCode language id: python
